nama,jenis_lembaga,profile,provinsi ,alamat,kontak,jenis_kelamin,umur,jenis_kekerasan
Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh ,Hukum,Melalui keputusan Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh 040/076 Tahun 2021 tentang Penetapan Pejabat Pengelola Informasi dan Dokumentasi (PPID) Pembantu Dinas Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Aceh. Mewujudkan tata kelola pemerintahan di lingkungan Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh yang baik melalui transparansi informasi publik dan akuntabel untuk memenuhi hak pemohon informasi sesuai dengan Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik.,Nanggroe Aceh Darussalam,Jln. Tgk. Bate Timoh No.2 Jeulingke Kec. Syiah Kuala Banda Aceh,Telp. (0651)22546 ,pria,dibawah 18 tahun,verbal
Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh ,Hukum,Melalui keputusan Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh 040/076 Tahun 2021 tentang Penetapan Pejabat Pengelola Informasi dan Dokumentasi (PPID) Pembantu Dinas Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Aceh. Mewujudkan tata kelola pemerintahan di lingkungan Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh yang baik melalui transparansi informasi publik dan akuntabel untuk memenuhi hak pemohon informasi sesuai dengan Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik.,Nanggroe Aceh Darussalam,Jln. Tgk. Bate Timoh No.2 Jeulingke Kec. Syiah Kuala Banda Aceh,Telp. (0651)22546 ,wanita,diatas 0 tahun,verbal
Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh ,Hukum,Melalui keputusan Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh 040/076 Tahun 2021 tentang Penetapan Pejabat Pengelola Informasi dan Dokumentasi (PPID) Pembantu Dinas Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Aceh. Mewujudkan tata kelola pemerintahan di lingkungan Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh yang baik melalui transparansi informasi publik dan akuntabel untuk memenuhi hak pemohon informasi sesuai dengan Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik.,Nanggroe Aceh Darussalam,Jln. Tgk. Bate Timoh No.2 Jeulingke Kec. Syiah Kuala Banda Aceh,Telp. (0651)22546 ,pria,dibawah 18 tahun,fisik
Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh ,Hukum,Melalui keputusan Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh 040/076 Tahun 2021 tentang Penetapan Pejabat Pengelola Informasi dan Dokumentasi (PPID) Pembantu Dinas Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Aceh. Mewujudkan tata kelola pemerintahan di lingkungan Dinas Pemberdayaan Perempuan dan Perlindungan Anak Aceh yang baik melalui transparansi informasi publik dan akuntabel untuk memenuhi hak pemohon informasi sesuai dengan Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik.,Nanggroe Aceh Darussalam,Jln. Tgk. Bate Timoh No.2 Jeulingke Kec. Syiah Kuala Banda Aceh,Telp. (0651)22546 ,wanita,diatas 0 tahun,fisik
LBH APIK Aceh Punge Blang Cut,Hukum,LBH APIK Aceh didirikan oleh delapan orang aktivis perempuan Aceh yang pada umumnya berprofesi sebagai pengacara. Sejak 28 Juni 1999. LBH APIK Aceh secara resmi telah menjadi Yayasan LBH APIK Aceh. LBH APIK Aceh menyediakan konsultasi dan layanan bantuan hukum bagi korban dan penyintas kekerasan berbasis gender.,Nanggroe Aceh Darussalam,Jln. Utama No.2A Lhoksumawe Bukit Panggoi Indah Banda Aceh Punge Blang Cut Jaya Baru Banda Aceh  ,Telp. (0645)431502,pria,diatas 0 tahun,verbal
LBH APIK Aceh Punge Blang Cut,Hukum,LBH APIK Aceh didirikan oleh delapan orang aktivis perempuan Aceh yang pada umumnya berprofesi sebagai pengacara. Sejak 28 Juni 1999. LBH APIK Aceh secara resmi telah menjadi Yayasan LBH APIK Aceh. LBH APIK Aceh menyediakan konsultasi dan layanan bantuan hukum bagi korban dan penyintas kekerasan berbasis gender.,Nanggroe Aceh Darussalam,Jln. Utama No.2A Lhoksumawe Bukit Panggoi Indah Banda Aceh Punge Blang Cut Jaya Baru Banda Aceh  ,Telp. (0645)431502,wanita,diatas 0 tahun,verbal
LBH APIK Aceh Punge Blang Cut,Hukum,LBH APIK Aceh didirikan oleh delapan orang aktivis perempuan Aceh yang pada umumnya berprofesi sebagai pengacara. Sejak 28 Juni 1999. LBH APIK Aceh secara resmi telah menjadi Yayasan LBH APIK Aceh. LBH APIK Aceh menyediakan konsultasi dan layanan bantuan hukum bagi korban dan penyintas kekerasan berbasis gender.,Nanggroe Aceh Darussalam,Jln. Utama No.2A Lhoksumawe Bukit Panggoi Indah Banda Aceh Punge Blang Cut Jaya Baru Banda Aceh  ,Telp. (0645)431502,pria,diatas 0 tahun,fisik
LBH APIK Aceh Punge Blang Cut,Hukum,LBH APIK Aceh didirikan oleh delapan orang aktivis perempuan Aceh yang pada umumnya berprofesi sebagai pengacara. Sejak 28 Juni 1999. LBH APIK Aceh secara resmi telah menjadi Yayasan LBH APIK Aceh. LBH APIK Aceh menyediakan konsultasi dan layanan bantuan hukum bagi korban dan penyintas kekerasan berbasis gender.,Nanggroe Aceh Darussalam,Jln. Utama No.2A Lhoksumawe Bukit Panggoi Indah Banda Aceh Punge Blang Cut Jaya Baru Banda Aceh  ,Telp. (0645)431502,wanita,diatas 0 tahun,fisik
LBH APIK Aceh Muara Dua,Hukum,Asosiasi Perempuan Indonesia untuk Keadilan (APIK) didirikan oleh 7 (tujuh) pengacara perempuan di Jakarta pada 1995. Dalam perkembangannya anggota APIK dari berbagai daerah mendirikan LBH (Lembaga Bantuan Hukum) APIK yang hingga saat ini berjumlah 16 kantor yang tersebar di seluruh Indonesia. Pada tahun 2010 terdiri 10 kantor LBH APIK yang telah ada pada saat itu memutuskan untuk bergabung dalam sebuah payung organisasi yang sama yang pada saat itu disepakati bernama Federasi LBH APIK Indonesia.Pada tahun 2012. Federasi LBH APIK Indonesia berubah nama menjadi Asosiasi LBH APIK Indonesia. Perubahan nama ini menyesuaikan dengan peraturan dan ketentuan perundangan yang ada di Indonesia dalam rangka pencatatan badan hukum organisasi di Kementrian Hukum dan HAM RI.,Nanggroe Aceh Darussalam,Jln. T. Nyak Arief No.73 Bukit Panggoi Indah Kec. Muara Dua Nanggroe Aceh Darussalam Aceh 24352,Telp. 0864543150,pria,diatas 0 tahun,verbal
LBH APIK Aceh Muara Dua,Hukum,Asosiasi Perempuan Indonesia untuk Keadilan (APIK) didirikan oleh 7 (tujuh) pengacara perempuan di Jakarta pada 1995. Dalam perkembangannya anggota APIK dari berbagai daerah mendirikan LBH (Lembaga Bantuan Hukum) APIK yang hingga saat ini berjumlah 16 kantor yang tersebar di seluruh Indonesia. Pada tahun 2010 terdiri 10 kantor LBH APIK yang telah ada pada saat itu memutuskan untuk bergabung dalam sebuah payung organisasi yang sama yang pada saat itu disepakati bernama Federasi LBH APIK Indonesia.Pada tahun 2012. Federasi LBH APIK Indonesia berubah nama menjadi Asosiasi LBH APIK Indonesia. Perubahan nama ini menyesuaikan dengan peraturan dan ketentuan perundangan yang ada di Indonesia dalam rangka pencatatan badan hukum organisasi di Kementrian Hukum dan HAM RI.,Nanggroe Aceh Darussalam,Jln. T. Nyak Arief No.73 Bukit Panggoi Indah Kec. Muara Dua Nanggroe Aceh Darussalam Aceh 24352,Telp. 0864543150,wanita,diatas 0 tahun,verbal
